indicator,type,source,threat_tags,confidence_score,ingestion_date
185.220.101.37,IPv4,AlienVault OTX,"Bruteforce, Brute-Force, SSH, Honeypot",HIGH (Confirmed Threat),2025-11-06
c0202cf6aeab8437c638533d14563d35,File Hash (MD5),VirusTotal,VT Positives: 60,CRITICAL (60 detections),2025-11-06
